,AZ,CA,NV,CO,NM,TX,GA,TN,NC,FL,DE,IN,MD,IL,NY,OH,NJ,PA,HI,WA,MT,ME,ND,SD,WY,WI,ID,VT,MN,OR,NH,IA,MA,NE,CT,RI,UT,DC,WV,KY,KS,VA,MO,OK,AL,MS,SC,AR,LA,MI,AK
2001,15661618114.794464,21825784577.147594,16079124904.270218,14607080949.15618,14832795060.244946,24114625615.780087,5130116469.423551,3889233533.7479434,3999576789.2359595,3994429865.798378,183015203.89105538,3390336111.6106973,867289696.0019028,5237300783.697636,4693525312.061007,3629912615.415344,652587203.3566505,3448256817.3480835,344357311.97506136,6861210453.369064,14792573070.998966,2823704677.2940197,6727903084.972598,6580823712.931608,8471997395.666428,4717839329.8652935,7850658568.603719,770087702.7080833,7471209599.919769,8909031896.123333,751739818.0314031,4282191274.202068,618177467.2173883,6206455126.525539,380100936.56963223,88983673.37218288,6783057215.201811,5961645.42093031,1623825233.2139103,2657709715.381316,5718641755.675916,2689656628.185777,4792732318.945856,4588813702.931418,3054403946.0374556,2889124702.947455,1826046218.230641,3364741314.972921,2594221711.5605574,4647518663.9854,14385651782.087566
2002,14207433585.155693,20049367048.976,14684099315.684143,13117075749.99547,13288748147.693636,21000971903.208775,4649015981.868485,3527749879.1960897,3652776498.724893,3592040404.334417,167575850.1516455,2990360496.6762085,774566328.2854393,4587442737.25782,4283626194.679427,3251647673.3808327,572184568.818838,3104928596.0749474,311032031.97985744,6240845803.935255,13366140775.223207,2627833540.840865,5940574125.402121,5696432782.899636,7647097444.121906,4192147348.1379256,7091482834.962628,700246654.802218,6607754726.308517,8049426388.021506,711807120.7533895,3857498503.685625,578924617.2954587,5356771037.89287,355355933.01520723,79185651.53347866,6196301981.788127,5356179.653342936,1450907565.0716355,2433063864.9096303,5024748162.377083,2448468650.782356,4214276075.2366257,4041087992.9795136,2729107445.572984,2565259098.566635,1652615326.0925946,3007316712.456056,2330007016.119891,4158396228.7046404,12779220873.802895
2003,12804864618.649395,18072038133.89841,13276455795.652403,11743919860.360855,11969224538.676805,18410629071.117455,4135875572.095849,3127146590.117266,3163339292.7297306,3164649796.808531,142472712.37763813,2649165580.336173,692777403.1251869,4090707493.191471,3766786106.8483176,2871122471.16357,487644788.05194443,2701266171.8748975,298987335.78663874,5603084660.8755455,12021538845.554363,2304905820.727745,5202015297.236843,4998924265.77924,6807268029.191706,3672968585.4352374,6400646116.693516,618324481.2540314,5723629816.2493725,7308726727.991794,606034654.1036747,3374468810.428022,512361646.93147546,4705555520.702017,311025007.87448126,70449233.22956255,5604676451.6582365,5356179.653342936,1284179117.243509,2148923782.8569136,4391235128.923361,2165421526.306387,3700736555.75411,3559269138.5719776,2422469636.134718,2254112324.6746097,1474442091.4199932,2675488742.309723,2056149864.9991896,3692162828.7853127,11284385729.275177
2004,12208790518.29408,17247491589.43752,12699175410.840466,11232815371.476765,11490952309.800062,17728784330.040997,3965780428.9548545,3019794441.805613,3066761333.190371,3088214631.54171,140445659.34849688,2541742261.723401,663421257.4176618,3955718492.107899,3637288474.159144,2777978218.894722,480158513.0862367,2638515620.9997063,268959636.8175541,5313682933.111447,11375480424.141476,2226386487.6061373,4984638887.709321,4816789982.411452,6534175225.286129,3555923012.638154,6118223145.248313,601477425.3769383,5564996823.686613,6880693806.219365,582123321.2926189,3251034496.533801,497981688.8044764,4563109616.456184,297637835.36740774,67318577.04139185,5328882204.941666,5450609.197177013,1236889081.0754728,2064493723.46851,4230278637.3297286,2074368486.2672753,3564678843.664486,3434435072.2989464,2307934037.9057198,2184338775.0664816,1426532340.752159,2561250530.8410883,1992495413.945793,3563381336.30644,10836256285.524094
2005,13206979968.421759,18581805469.00449,13837770136.14576,12385174261.268795,12523774579.480951,19633326270.293495,4268131300.5112495,3253336199.9689875,3249212685.792039,3301875726.618831,142210224.59714776,2738369753.7130504,721122037.299297,4274515623.189434,3843195183.9817095,2940716051.5386925,517601599.25149465,2805529898.265809,296875569.4297229,5804879251.310745,12635566716.014238,2327402324.209695,5535981644.612782,5272946133.99713,7179671596.5049715,3922671383.808643,6680952514.038865,645477399.8403292,6028699890.985558,7552381615.891902,607028048.2013649,3535794633.8811874,527062668.1420581,5009290640.110288,327298264.0486058,70797033.78754903,5788850307.759517,5356179.653342936,1339771309.8930893,2210414117.854905,4646685182.923724,2246476372.1900034,3899650790.534723,3753689584.829162,2527323846.428875,2355860712.29508,1516710935.4350572,2779439883.0849257,2162752475.5301514,3831417357.6981215,11976330139.645638
2006,13547870259.83133,18992479130.87356,14193684321.971035,12830657824.234165,12951672702.593866,20725931803.347565,4389302297.824684,3381641040.2398977,3387821967.3281264,3417021318.346284,151339561.29535404,2892202437.325493,734828820.2698047,4507364214.170876,3961664306.8124914,3061840756.4147496,546499323.526386,2912331888.5402713,300649875.10949606,6004596035.13689,12933633585.812033,2414053683.5084453,5822232011.092598,5562359185.457328,7426552797.801629,4053912641.032699,6825484235.552995,659131729.7160825,6376891780.942524,7724717554.577858,627807766.1849971,3718682021.8462806,538217802.5729146,5325921883.820735,323427155.54598737,72614379.19535713,5964117716.010904,5356179.653342936,1412205955.8961623,2311239835.799074,4901672300.395298,2348771729.035219,4084814785.95574,3961402094.482334,2634724114.722547,2470684199.285088,1572684826.3069277,2926892104.4365788,2270300377.366703,4040200311.898874,12572836639.00738
2007,12721760579.51537,18107218184.28813,13354975807.438173,11820774586.625414,12054336155.714035,18983958439.19484,4121245037.163115,3204306696.0493646,3215249503.002565,3213797481.733179,148991627.59152958,2746451996.9653177,687948428.7673306,4196875927.7818604,3827560296.7759094,2941041286.7718925,511515951.94340086,2736985282.5572896,283980942.20536274,5604683319.3722105,11996452752.44302,2337944408.313282,5292563994.430194,5187738004.669585,6837074296.179643,3789614224.5992603,6413759983.648058,622168362.3817903,5900943844.20556,7234245125.177637,617562809.4839935,3449515579.0393467,515680182.94548696,4871961704.768369,319659969.48262465,74937058.2138545,5562461261.317133,5450609.197177013,1326521142.5453808,2190692026.0253034,4526521231.663182,2180251267.6219707,3775756909.297555,3657975200.380054,2491293573.810614,2297486889.3946652,1511519746.7834997,2741040904.812997,2110407768.160737,3771349755.9977922,11310360761.003847
2008,12947552672.215014,18433773826.09547,13574154926.162617,12141026049.413877,12307396146.126144,19398555613.809002,4239739233.2161136,3241560935.7377934,3241788099.430213,3262972409.3324084,143689782.35322058,2771620894.426107,684981439.5193892,4226542364.0959296,3877476966.0215983,2927309712.3119664,497666123.52399594,2771208442.535846,300357644.9321712,5773342793.287019,12312950024.04788,2339230234.6737623,5402608545.008854,5254844210.236382,7080280340.318671,3841627846.0755463,6561632975.687684,640126692.1558564,5998311064.74561,7398709226.455658,617720887.224688,3527076250.823215,523619462.96713835,5002493499.993044,322606205.761637,72941432.14319344,5632976777.787745,5356179.653342936,1351226913.1920607,2229574945.292644,4611203244.616378,2247957419.1501684,3844885518.9927897,3721160261.864625,2522161746.6477566,2340014808.4169793,1519191473.8566813,2748884775.955583,2144680921.8542778,3815349906.286812,11779537600.66731
2009,11653418052.521616,16463342762.745993,12051778353.335213,10719512534.335041,11005841338.146305,16849632186.74658,3785134159.177918,2856097565.7166257,2931097746.3333015,2954159037.803687,127908106.32047507,2451799725.58166,634464012.61527,3712027287.324317,3461287577.9383187,2661520975.299392,465535479.1157815,2502036152.2167234,258185880.5261368,5013125082.185912,10866607204.87692,2105794176.01557,4742967501.847087,4579933121.660106,6223712601.416595,3407834197.026772,5792261233.107567,579178693.9076388,5275550411.413519,6555966181.808693,544782430.421231,3131201097.5122027,465807809.7450826,4315350675.819505,282870643.6964361,59251770.814777814,5045669236.394226,4652002.004069564,1204299510.4950702,1953959060.9820423,4031388595.3537297,2015875733.2889938,3388258451.852114,3310352885.2758365,2199256518.1889696,2099137716.0153172,1363708879.0075943,2445104679.0154915,1898332090.4414523,3424547909.0882215,10483539189.814774
2010,13382048011.551298,18915596052.348328,13928986823.196291,12732978406.668753,12885751421.705982,20882369585.374283,4353909214.733224,3363131354.007294,3448126324.85092,3434999642.3957195,156416913.3176234,2890504131.0934677,746382417.1570814,4543599894.479923,4042730424.395832,3075368752.5020204,545032805.7609566,2906294962.350375,291354405.5119694,5855560527.776666,12687965982.463526,2487458266.0398784,5802377463.609757,5650002969.110908,7359524191.678062,4106108618.334061,6723741531.147533,677063314.769814,6460288715.840732,7648771428.80501,636068163.9886461,3765925577.2925787,539461851.3532734,5302761908.656873,340666638.08389306,75552333.05290829,5854915946.575541,4561078.335574701,1400354742.9748516,2260856691.142447,4966650972.476223,2321511390.227469,4154539666.117937,3963225801.853399,2623040840.6303806,2478608926.715473,1588466417.8585372,2935913025.0199027,2272634354.8936567,3991891577.9716215,12468573881.066484
