,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,2.726,2.939,4.049,4.462,4.926,4.971,5.218,5.164,4.71,4.293,3.521,3.342
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.044,0.047,0.065,0.072,0.079,0.08,0.084,0.083,0.076,0.069,0.057,0.054
Commercial,0.066,0.071,0.098,0.108,0.119,0.12,0.126,0.125,0.114,0.104,0.085,0.081
Industrial,0.015,0.016,0.022,0.024,0.026,0.027,0.028,0.028,0.025,0.023,0.019,0.018
Total,0.124,0.134,0.185,0.203,0.225,0.227,0.238,0.235,0.215,0.196,0.161,0.152
Total,2.85,3.073,4.233,4.666,5.151,5.197,5.456,5.399,4.925,4.488,3.682,3.495
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.126,0.109,0.53,0.57,0.819,0.88,0.822,0.73,0.607,0.336,0.154,0.078
Total,0.126,0.109,0.53,0.57,0.819,0.88,0.822,0.73,0.607,0.336,0.154,0.078
Total,2.977,3.181,4.764,5.236,5.97,6.077,6.278,6.129,5.532,4.824,3.835,3.572
