Year,Coal,Oil,Gas,Subtotal_fossil,Nuclear,Hydro,Geothermal,Solar,Wind,Wood,Bio_other,Subtotal_renewable,Misc,Total
2018,"1,146.39",24.57,"1,480.20","2,651.17",807.08,291.72,16.73,66.60,274.95,41.41,21.35,712.77,51.26,"4,222.28"
2017,"1,205.84",21.39,"1,308.89","2,536.12",804.95,300.33,15.93,53.29,254.30,41.15,21.61,686.61,62.90,"4,090.58"
2016,"1,239.15",24.20,"1,391.11","2,654.47",805.69,267.81,15.83,36.05,226.99,40.95,21.81,609.45,67.49,"4,137.10"
2015,"1,352.40",28.25,"1,346.60","2,727.25",797.18,249.08,15.92,24.89,190.72,41.93,21.70,544.24,75.61,"4,144.27"
2014,"1,581.71",30.23,"1,138.63","2,750.57",797.17,259.37,15.88,17.69,181.655,42.34,21.65,538.58,60.50,"4,146.2"
2013,"1,581.12",27.16,"1,137.69","2,745.97",789.02,268.57,15.78,9.04,167.84,40,20.83,522.07,55.64,"4,112.7"
2012,"1,514.04",23.19,"1,237.79","2,775.02",769.33,276.24,15.56,4.33,140.82,37.8,19.82,494.57,56.1,4095
2011,"1,733.4",30.2,"1,025.3","2,788.9",790.2,319.4,15.3,1.82,120.2,37.4,19.2,513.32,46,4138.4
2010,"1,847.3",37.1,999.0,"2,883.4",807.0,260.2,15.2,1.21,94.7,37.2,18.9,427.4,33.3,"4,151.0"
2009,"1,755.9",38.9,931.6,"2,726.5",798.9,273.4,15.0,0.89,73.9,36.1,18.4,417.7,41.4,"3,984.4"
2008,"1,985.8",46.2,894.7,"2,926.7",806.2,254.8,14.8,0.86,55.4,37.3,17.7,380.9,38.3,"4,152.2"
2007,"2,016.5",65.7,910.0,"2,992.2",806.4,247.5,14.6,0.61,34.5,39.0,16.5,352.7,36.6,"4,188.0"
2000,"1,966",111,615,"2,692",754,260,14,0.49,5.6,37.6,23,318.7,38.6,"3,836"
1999,"1,881",118,57l,"2,570",728,319.5,14.8,0.50,4.5,37,22.6,392.8,55,"3,723.8"
