Rank,Rank w/o Hydropower,state,with Hydro,w/o Hydro,with Hydro(GWH),w/o Hydro(GWH),Total electricity
,,United States,17.1,9.6,"687,290","387,245","4,014,804"
1,2,Vermont,99.6,41.3,"2,069",858,"2,077"
2,10,Idaho,81.6,21.9,"12,989","3,480","15,926"
3,21,Washington,80.0,8.2,"92,342","9,517","115,474"
4,16,Oregon,76.3,13.6,"44,623","7,980","58,516"
5,1,Maine,75.9,46.1,"8,492","5,163","11,192"
6,6,South Dakota,73.1,30.2,"7,651","3,156","10,464"
7,8,California,47.2,26.5,"97,298","54,606","206,107"
8,23,Montana,45.1,7.8,"12,753","2,192","28,269"
9,3,Iowa,38.8,37.2,"21,933","21,018","56,478"
10,4,Kansas,36.2,36.1,"18,590","18,561","51,366"
11,5,Oklahoma,36.1,32.3,"27,598","24,737","76,545"
12,35,Alaska,33.3,3.45,"1,987",206,"5,971"
13,7,North Dakota,31.8,26.9,"13,029","10,993","40,931"
14,31,New York,27.8,5.0,"35,505","6,440","127,880"
15,9,Minnesota,24.9,22.8,"14,885","13,628","59,701"
16,11,Nevada,24.8,20.1,"9,414","7,621","37,967"
17,12,Colorado,23.4,19.6,"12,686","10,668","54,318"
18,18,New Hampshire,19.9,12.5,"3,483","2,195","17,494"
19,15,Nebraska,19.3,14.9,"6,945","5,351","35,937"
20,13,New Mexico,17.7,16.9,"5,933","5,683","33,566"
21,14,Texas,16.0,15.6,"72,345","70,759","452,235"
22,17,Hawaii,14.2,13.5,"1,399","1,332","9,848"
23,30,Arizona,11.8,5.3,"12,536","5,564","105,833"
24,20,Utah,11.6,9.4,"4,263","3,444","36,732"
25,19,Wyoming,11.6,9.4,"5,434","4,398","46,826"
26,49,Tennessee,11.2,1.42,"8,725","1,111","78,103"
27,22,Massachusetts,10.5,7.8,"3,291","2,466","31,456"
28,26,North Carolina,10.3,6.6,"13,398","8,682","130,689"
29,34,Maryland,9.8,4.07,"3,352","1,389","34,132"
30,32,Wisconsin,9.3,4.90,"6,040","3,195","65,247"
31,42,Alabama,9.2,2.57,"12,782","3,580","139,194"
32,44,Arkansas,8.8,2.45,"5,470","1,519","62,109"
33,25,Michigan,8.3,6.9,"9,344","7,732","112,367"
34,29,Georgia,7.9,5.5,"10,194","7,054","128,979"
35,24,Rhode Island,7.2,7.2,378,376,"5,244"
36,50,Kentucky,6.9,0.67,"4,948",483,"72,116"
37,27,Illinois,6.6,6.5,"11,976","11,847","181,911"
38,33,Virginia,6.4,4.72,"6,027","4,410","93,500"
39,28,Indiana,6.0,5.5,"6,001","5,533","100,492"
40,36,South Carolina,5.9,2.99,"5,497","2,793","93,467"
41,46,West Virginia,4.60,2.19,"3,376","1,607","73,410"
42,37,Pennsylvania,4.35,2.99,"8,705","5,981","200,201"
43,43,Missouri,4.24,2.57,"3,552","2,152","83,801"
44,38,Louisiana,4.15,2.88,"4,027","2,796","96,978"
45,40,Connecticut,3.46,2.70,"1,180",920,"34,108"
46,39,New Jersey,2.89,2.85,"2,153","2,127","74,541"
47,41,Mississippi,2.60,2.60,"1,573","1,573","60,574"
48,45,Florida,2.53,2.44,"6,006","5,811","237,821"
49,47,Ohio,2.48,2.02,"2,954","2,401","118,974"
50,48,Delaware,1.68,1.68,129,129,"7,662"
