Year,AZ,CA,NV,CO,NM,TX,GA,TN,NC,FL,DE,IN,MD,IL,NY,OH,NJ,PA,HI,WA,MT,ME,ND,SD,WY,WI,ID,VT,MN,OR,NH,IA,MA,NE,CT,RI,UT,DC,WV,KY,KS,VA,MO,OK,AL,MS,SC,AR,LA,MI,AK
2001,178784.16464442926,269543.9246481663,199997.33501821465,185680.711710189,191353.63621587984,363846.90991149796,79124.45105841306,64270.35962813018,69398.49412299083,69309.18749012549,3191.5385657434263,60646.67965319087,15675.772828250634,95657.69654112523,88042.71753080982,68461.17525371084,12940.960387543491,75260.73966717903,7966.802539584092,158736.01913956308,342230.3073313385,65327.19594387666,155651.91595907672,152249.19362983122,196002.02469937506,109148.52987713803,181627.17748908888,17816.19397145721,172848.5196757411,206112.9398652402,17391.710537666408,99069.69049859776,14301.708267771359,143588.0718786652,8793.741272380972,2058.6621231796435,156927.92215815847,137.92433100132808,37567.65005979156,61486.856162679454,132302.37337138565,62225.956908363136,110881.20008582958,106163.48598063235,70664.48792575559,66840.70649931201,42246.08899796368,77844.22958648071,60018.04347166576,107521.64164205479,332816.06972065114
2002,162184.01742689958,247605.53564479866,182645.55737729746,166740.22477819715,171434.32970590936,316867.4004675612,71704.18833950316,58296.77015962895,63381.002975513366,62327.14310190028,2922.2970391278873,53491.87488178554,13999.850175307662,83788.23813716095,80353.69279816013,61326.99180836193,11346.556906665941,67767.34887573984,7195.812884172388,144383.70980066498,309229.39798124443,60795.662524777246,137436.84069722652,131788.56258658995,176917.73405029572,96986.49913342066,164063.43496806323,16200.40183208781,152872.25014207503,186225.72647718203,16467.856438962193,89244.30470008607,13393.582627428957,123930.39329958153,8221.258707603349,1831.9821528320397,143353.17604092494,123.91671145295459,33567.15153750473,56289.61170232519,116248.95139062977,56646.005723722934,97498.45341206418,93491.69878374429,63138.66258127751,59347.985335162695,38233.716895268786,69575.11163248926,53905.362737345844,96205.65756373623,295650.84222370887
2003,146173.08425287728,223185.9325736511,165136.83384053063,149285.090260638,154411.5339595557,277783.7236116753,63789.75725764683,51676.72093041859,54888.55318551519,54911.292343782225,2484.5321396903128,47388.54526803196,12521.56141367558,74715.52087293836,70658.63357592042,54150.179218764875,9670.112826168002,58957.1197569857,6917.155475475906,129628.92772551594,278121.65699390846,53324.63957497086,120350.07603957473,115651.50833411988,157488.046098242,84975.15352999837,148080.73464444446,14305.109478547716,132417.77354516482,169089.43307673532,14020.780896729888,78069.27790925685,11853.629727063468,108864.3405231315,7195.650379533802,1629.8626766074503,129665.75424962249,123.91671145295459,29709.842354901288,49715.95158658118,101592.45051707102,50097.63148661516,85617.57327473043,82344.68508771594,56044.51126224803,52149.517864822206,34111.62937421623,61898.1789136675,47569.601099185165,85419.21770795857,261067.41387314314
2004,139368.63982592896,213002.95331517453,157956.43445884463,142788.08749981254,148241.48106494453,267495.89638048067,61166.29151199572,49902.70527438424,53212.784645318454,53585.030679839445,2449.183066062734,45466.94594079121,11990.965612358486,72249.98806599391,68229.47367207085,52393.45236220838,9521.658202351944,57587.54285957187,6222.45627762031,122933.5379674554,263174.9150678804,51508.07288459963,115321.01212472182,111437.78084578099,151169.96784627024,82267.27153016905,141546.80036193522,13915.348137990371,128747.7549799646,159186.7719465161,13467.585537318513,75213.59060073353,11520.945381642634,105568.81476475527,6885.934406565238,1557.4340717741954,123285.17736411304,126.10136530948017,28615.774167181746,47762.63859405346,97868.67715318922,47991.09398793409,82469.84012514613,79456.61411716945,53394.69822470858,50535.28731741303,33003.223918551055,59255.24600184425,46096.93760498075,82439.82193021939,250699.8140970213
2005,150763.40540442188,229481.45371179152,172118.64241994946,157436.51859613674,161565.6250354818,296232.05471023195,65829.60605495394,53762.02939444587,56378.581875499214,57292.362488276594,2479.954706468043,48984.23865901701,13033.874713673818,78072.72013402838,72091.94059944013,55462.73376411705,10264.16356004155,61232.75222413802,6868.299171310955,134297.5019060169,292327.36318233766,53845.102462905,128076.48071252943,121991.08074830454,166103.70658416304,90752.09747468388,154565.70139431354,14933.2998297551,139475.6548842299,174726.4569243522,14043.763346485048,81801.59586880766,12193.74195654747,115891.33729803364,7572.136703787365,1637.909139604694,133926.66782249583,123.91671145295459,30995.983250361158,51138.54765173276,107502.35882502796,51972.8579725216,90219.50962311386,86842.65638417269,58470.34268736413,54503.495215394665,35089.53087981531,64303.11757337146,50035.882251844094,88640.91010713576,277075.7409627372
2006,154654.815955895,234553.18848396212,176545.61771145483,163099.3683684163,167085.81603488847,312717.5334105016,67698.48928670312,55882.29246291092,58783.65519124662,59290.30654383069,2639.158037844416,51736.01346131011,13281.617096688773,82325.6284117931,74314.22402693331,57747.17984495615,10837.212346790648,63563.78416629044,6955.618786806639,138918.00545059945,299223.22342021443,55849.80584893239,134698.9628475783,128686.7324832353,171815.37209283165,93788.40059644409,157909.48311744587,15249.196563024821,147531.1714558443,178713.49697327762,14524.50792267644,86032.74664223377,12451.81910555129,123216.68950860846,7482.577527962735,1679.9539329247038,137981.52823813484,123.91671145295459,32671.779005710083,53471.178781781746,113401.55696716267,54339.48960879476,94503.33034554581,91648.14327776343,60955.077875028794,57159.968639784085,36384.50247019854,67714.46587549997,52524.03298273499,93471.16203414866,290876.08533973666
2007,145224.41559640423,223620.3989186226,166113.4910402383,150262.04385737423,155509.53452776565,286434.24642136623,63564.102917800294,52951.80706607193,55789.27108952893,55764.07640148086,2598.2132375969713,49128.81465421735,12434.28042166544,76654.65485010184,71798.65615622018,55468.86779230397,10143.483717805067,59736.71560283059,6569.978370951407,129665.91313610038,277541.2832270164,54088.996521454894,122444.94542573224,120019.76689053744,158177.62240540131,87673.78295358575,148384.12761716213,14394.038741454491,136519.98307898612,167366.28040415578,14287.487989528021,79805.5058503192,11930.404984114008,112714.19404364673,7395.4226267801405,1733.6897603914472,128689.09403674783,126.10136530948017,30689.436929999316,50682.271551850245,104722.33226895369,50440.721691660474,87353.19009582385,84628.27738135617,57636.77227252164,53153.00052759232,34969.43128124583,63414.746492009326,48824.87283487368,87251.22937398053,261668.35348309332
2008,147801.93028107734,227653.29354367589,168839.71152160843,154332.98176370678,158774.1889067572,292689.7820968895,65391.70045329148,53567.440805129154,56249.75446696354,56617.33315934028,2505.7562002147706,49579.038470169115,12380.65376191265,77196.5032333799,72735.009732323,55209.88642685227,9868.83830639052,60483.66122497123,6948.8579600783805,133567.8971462634,284863.5359555302,54118.744473241895,124990.85682220894,121572.28768896354,163804.26212731126,88877.13260599626,151805.21056661458,14809.509713829493,138772.60090615458,171171.2032972322,14291.145162186283,81599.89364303241,12114.08244365797,115734.08356400549,7463.584625534409,1687.5203941694413,130320.49019463995,123.91671145295459,31261.01183050441,51581.83874323297,106681.4742775355,52007.122407378076,88952.49977831387,86090.08141685609,58350.91606793223,54136.89580580473,35146.91882863969,63596.21664050283,49617.79181289447,88269.18513352012,272522.89063900965
2009,133028.82221373406,203318.87751448184,149903.90131599305,136263.14001337852,141983.20351057046,254231.05056548177,58380.09025963776,47197.581757128704,50858.823431086355,51258.97049286666,2230.545034039972,43858.044641034074,11467.579720254742,67799.04276426719,64927.989998099765,50197.0359169513,9231.67993985459,54608.77813464912,5973.202418333757,115980.04818583316,251401.9910886826,48718.13609271406,109729.87715044398,105958.03125391384,143987.32837767986,78841.19544213702,134005.58053257753,13399.460760776767,122051.33143331495,151674.10770834412,12603.69360333214,72441.21146298086,10776.59370829349,99836.84251143504,6544.291305008708,1370.8062578796073,116732.96627811666,107.62536496644302,27861.805354454176,45205.38832177511,93267.30051209396,46637.847819581024,78388.30511296932,76585.93808295619,50880.41346882729,48564.13703246356,31549.78559397638,56568.17929784652,43918.44283009882,79227.87183629663,242539.6056271187
2010,152761.88305963186,233603.6983682014,173253.22495649362,161857.69771319695,166235.38449109165,315077.9019474521,67152.60338185714,55576.41620722945,59830.02380014531,59602.256702968465,2727.7002160154407,51705.633985465895,13490.441853847828,82987.46202687829,75834.88937273828,58002.32166490775,10808.130948607512,63432.0238147754,6740.565502845609,135470.02738468972,293539.63483885134,57548.04135662168,134239.62234918337,130714.39588374634,170264.64657918646,94995.9691017723,155555.63724963894,15664.048788829175,149460.58282489565,176956.46215322852,14715.614531746614,87125.73948548087,12480.600521360004,122680.8770181058,7881.417768863606,1747.9243155464064,135455.1148186697,105.52182051455218,32397.59788651989,52305.55066574004,114904.85668449428,53708.81406077785,96116.43491173729,91690.33525687926,60684.78206753071,57343.30942106686,36749.613996162465,67923.16739137736,52578.030204349016,92353.52598940097,288463.9373299164
2011,157744.16598899584,239947.8023966445,178306.9396701823,165392.42030544122,170009.05250653223,320059.10340271104,70005.88219843086,57250.8771542923,61124.26337159444,61451.36121449339,2613.915966767619,53040.828786029175,13799.657133419078,84234.31392393901,78616.77448006066,59667.49641471728,11227.506947802069,65449.778378154384,6837.674102846075,140492.4917865837,301183.3120514821,58996.39972802744,137263.3129261337,131663.7113913529,173574.89326779864,96105.48920152817,158425.3292906029,15846.825052412332,151605.75352950237,180656.9898333913,15357.202951512587,88935.0117889422,13096.09565745337,126617.38437499985,7916.539730347246,1802.0271867168008,138447.90778989365,123.91671145295459,33802.2555842131,54448.12746898774,118361.01174495957,55697.070939902864,97071.28573570645,94482.16942303127,62060.44651207885,58221.09901215512,37649.093715936724,69189.9217019409,53739.2514733006,95272.08284686327,297148.3940027416
2012,168870.9126664008,255999.18306561292,191068.08107016445,178299.13857669217,182683.51260250725,351103.58033169515,75034.80183479738,60947.821410134624,65242.114325630435,65777.9778585148,2946.774119117355,56377.82450707579,14682.064458625586,91078.25972460564,84366.0933084672,64123.70491934169,11819.094816451257,69481.9375680478,7242.010901353009,150915.90407214066,328353.7220158258,62895.1270074491,149644.4519336472,145434.49177445506,188575.21181240643,104291.37668939085,172087.7522267675,16701.883968635833,165024.06754535553,196636.09388601693,16213.162942292567,96474.53065768148,13987.710514816703,138120.5816778607,8408.961815754243,2000.2042840127367,148815.1302143763,123.91671145295459,35503.77044890052,58410.70421062506,128575.5324279474,58697.607555787625,105250.754173773,101817.38263457592,67088.11828953,64085.94255800546,39715.668595706746,74473.14852461994,57854.66352115838,102167.5413865402,325365.44189886865
2013,144260.5500308295,222002.7460102229,164823.1268935006,148827.61928110165,154880.21272314957,280521.64263001597,63251.54298579824,51441.34901765279,56476.31141247043,55834.55472090083,2395.0072444296156,47502.3568373821,12533.833093942027,75514.80330896247,71730.30783569094,54378.67438356768,10311.827965374549,60153.245945995935,6616.0904581610785,128065.05339738216,277402.47571835684,54186.55784532514,120301.05809547579,115736.89839526586,159176.5693892709,85394.95827511595,146795.0924410769,14448.99919906686,133735.1421356251,167677.1064422012,14178.821656929755,79296.51533765445,11898.276869948117,110304.16947263827,7315.426894241031,1623.5662884696983,128484.45106040858,123.91671145295459,30390.097019211327,49982.84258465299,102773.7302593633,51020.67383574483,86062.28179364136,83428.2866411765,56281.688480533034,52466.267115129405,34248.906309692306,61841.16217510964,47795.070640217156,86307.14715563234,263524.79963685543
2014,151611.64953638898,232398.7390362592,173064.3696055446,159064.10546283104,162745.1917637132,304011.11062341835,67881.61537650818,55599.297154669126,59739.517933997144,59391.80348677973,2698.3891345847746,51835.831358776,13309.062306566257,80612.28964544326,75549.8850263289,58401.95769187002,10786.337238523023,62913.58820863826,6858.4084582192745,136630.05893279373,292366.44940723287,56346.54762394864,130162.26492596544,125728.95733194918,168039.18323663517,92619.54391425378,155177.6230846831,15264.373475499611,145368.54892975074,175294.02497555813,14751.866323660362,84264.44051143713,12631.356231714315,119641.88618444162,7910.602180344369,1794.2905060077871,133371.0852792923,123.91671145295459,32689.16508656869,53318.662209302194,111649.69343091406,53687.59520851134,93206.84192132037,89452.34837482485,59918.692721380285,56608.26865899,36712.11249926118,66072.30965103033,51625.215314704255,91872.57327505187,281287.09662440355
2015,151638.1309797897,233336.12812924918,173009.11153740183,155269.74327811052,161364.11934350984,291171.85249844857,66728.76071323549,54009.1507542534,59489.50140146701,57953.74327655958,2718.104682484495,49242.12696224696,13149.42455411062,78372.29205580209,75352.7943946741,57180.625135086964,10333.802655079939,62898.10060521991,7094.294081081174,134865.96181485074,289242.61372434045,57380.28417199088,125444.58144662208,119774.33353064688,165393.66223860727,89818.89705321522,154214.39711970236,15177.208535081727,140003.68943519864,175915.2942260116,15333.574564415007,81845.21610505863,12915.66750162893,114792.4914388292,7849.045405419943,1793.797513243928,135171.38401689276,126.10136530948017,31563.510176128613,52404.1396033872,106786.08560745425,52790.69101388309,90231.01578299467,86769.08694760091,58754.35815974934,54769.4582370059,35645.56995251903,63888.210088769665,49702.809725420884,90101.4608240279,272559.04268637777
2016,197406.35413143333,297892.35776360036,220384.4049851881,203809.68519728753,209612.13260431562,398444.331287441,83563.57147695271,69649.59288347962,75323.4544814936,75287.59858090806,3558.864013274649,65280.54995080507,17439.779155502572,103040.65630897821,94982.86284825229,73906.20450770578,13562.989629904218,80507.72768453819,8696.410183952949,174580.53656341645,374305.8138288528,71214.83133099604,169780.6655646585,164893.40390888267,215946.62592500207,117763.91684125266,198308.8586514013,19721.872795087544,188892.33737941852,225149.81601335437,18435.76355540399,107855.9759258648,15712.403061956313,156394.84216606218,9941.92902053798,2094.2463216458455,173056.82769705664,174.62592470995403,41272.72294257113,67502.31044756755,145124.32685780135,67683.65054461037,120401.23314669699,116303.40635290729,76525.9415645081,72387.56850304369,46221.57718939764,84637.89717835335,66084.08891599218,117476.71173509622,366693.8476315208
