,AZ,CA,NV,CO,NM,TX,GA,TN,NC,FL,DE,IN,MD,IL,NY,OH,NJ,PA,HI,WA,MT,ME,ND,SD,WY,WI,ID,VT,MN,OR,NH,IA,MA,NE,CT,RI,UT,DC,WV,KY,KS,VA,MO,OK,AL,MS,SC,AR,LA,MI,AK
2001,15661618114.794586,21825784577.147552,16079124904.270094,14607080949.156263,14832795060.245005,24114625615.780228,5130116469.423567,3889233533.7479234,3999576789.235973,3994429865.7984123,183015203.89105543,3390336111.610687,867289696.0019076,5237300783.697692,4693525312.0610075,3629912615.415364,652587203.3566568,3448256817.3481174,344357311.97505903,6861210453.36905,14792573070.998997,2823704677.294003,6727903084.972611,6580823712.931634,8471997395.66653,4717839329.865311,7850658568.6037035,770087702.7080857,7471209599.919824,8909031896.123339,751739818.031409,4282191274.202105,618177467.2173972,6206455126.525582,380100936.5696333,88983673.37218061,6783057215.201907,5961645.420931336,1623825233.213932,2657709715.381342,5718641755.675974,2689656628.185796,4792732318.945901,4588813702.931432,3054403946.037497,2889124702.9474573,1826046218.230652,3364741314.97293,2594221711.560585,4647518663.985426,14385651782.087517
2002,14207433585.155817,20049367048.97596,14684099315.684032,13117075749.99556,13288748147.693693,21000971903.208885,4649015981.868503,3527749879.1960692,3652776498.724906,3592040404.334441,167575850.1516455,2990360496.6761975,774566328.2854447,4587442737.257867,4283626194.679431,3251647673.380852,572184568.8188418,3104928596.074972,311032031.97985387,6240845803.935237,13366140775.22325,2627833540.8408475,5940574125.402141,5696432782.899642,7647097444.122004,4192147348.137949,7091482834.962614,700246654.8022184,6607754726.308557,8049426388.021511,711807120.7533951,3857498503.685662,578924617.2954681,5356771037.892912,355355933.0152084,79185651.53347668,6196301981.788221,5356179.653343854,1450907565.0716505,2433063864.9096556,5024748162.377123,2448468650.7823725,4214276075.2366643,4041087992.979527,2729107445.5730166,2565259098.5666327,1652615326.092605,3007316712.4560647,2330007016.1199193,4158396228.704662,12779220873.80286
2003,12804864618.649496,18072038133.89836,13276455795.65229,11743919860.360918,11969224538.676847,18410629071.11757,4135875572.095867,3127146590.1172576,3163339292.7297397,3164649796.8085513,142472712.37763813,2649165580.336158,692777403.1251913,4090707493.191518,3766786106.8483295,2871122471.163584,487644788.05194896,2701266171.8749156,298987335.78663486,5603084660.875532,12021538845.55441,2304905820.727728,5202015297.236859,4998924265.779247,6807268029.191795,3672968585.4352555,6400646116.693507,618324481.2540308,5723629816.249411,7308726727.9918,606034654.1036797,3374468810.428056,512361646.9314832,4705555520.702052,311025007.8744805,70449233.22956073,5604676451.658311,5356179.653343854,1284179117.2435238,2148923782.8569326,4391235128.923393,2165421526.3063984,3700736555.7541466,3559269138.5719867,2422469636.134747,2254112324.674611,1474442091.4200037,2675488742.3097315,2056149864.9992127,3692162828.785332,11284385729.275158
2004,12208790518.294168,17247491589.437473,12699175410.84037,11232815371.476831,11490952309.8001,17728784330.041077,3965780428.9548726,3019794441.8055997,3066761333.190379,3088214631.5417347,140445659.34849688,2541742261.723391,663421257.4176661,3955718492.1079397,3637288474.1591544,2777978218.8947372,480158513.08624095,2638515620.999726,268959636.81754863,5313682933.111432,11375480424.141516,2226386487.606121,4984638887.70934,4816789982.411463,6534175225.286221,3555923012.638173,6118223145.2483,601477425.37694,5564996823.68664,6880693806.219371,582123321.2926216,3251034496.5338244,497981688.8044827,4563109616.456225,297637835.3674081,67318577.04138997,5328882204.941743,5450609.197177932,1236889081.0754888,2064493723.4685247,4230278637.329766,2074368486.267283,3564678843.6645203,3434435072.298956,2307934037.9057508,2184338775.0664806,1426532340.7521684,2561250530.841096,1992495413.945816,3563381336.3064613,10836256285.524073
2005,13206979968.421864,18581805469.004448,13837770136.145655,12385174261.268852,12523774579.481003,19633326270.293617,4268131300.5112667,3253336199.9689746,3249212685.7920465,3301875726.6188564,142210224.59714776,2738369753.7130346,721122037.2993006,4274515623.189473,3843195183.9817166,2940716051.5387096,517601599.25149983,2805529898.2658315,296875569.42971987,5804879251.310732,12635566716.01426,2327402324.2096796,5535981644.612794,5272946133.997137,7179671596.50506,3922671383.8086605,6680952514.038851,645477399.8403293,6028699890.9856,7552381615.891909,607028048.2013702,3535794633.881219,527062668.14206654,5009290640.110326,327298264.0486062,70797033.78754748,5788850307.759596,5356179.653343854,1339771309.8931084,2210414117.8549266,4646685182.923773,2246476372.1900125,3899650790.534763,3753689584.8291717,2527323846.428908,2355860712.295076,1516710935.4350636,2779439883.084935,2162752475.5301766,3831417357.6981397,11976330139.64558
2006,13547870259.831425,18992479130.87352,14193684321.970928,12830657824.234211,12951672702.593925,20725931803.34767,4389302297.824701,3381641040.23989,3387821967.328133,3417021318.3463125,151339561.29535404,2892202437.32548,734828820.2698092,4507364214.1709175,3961664306.812493,3061840756.4147696,546499323.5263909,2912331888.5402994,300649875.1094938,6004596035.136874,12933633585.812054,2414053683.5084295,5822232011.09261,5562359185.457337,7426552797.801719,4053912641.032717,6825484235.552974,659131729.7160817,6376891780.942558,7724717554.577862,627807766.1850041,3718682021.8463125,538217802.5729222,5325921883.820778,323427155.5459871,72614379.19535539,5964117716.010988,5356179.653343854,1412205955.8961828,2311239835.7990975,4901672300.395349,2348771729.035233,4084814785.9557824,3961402094.4823456,2634724114.722581,2470684199.2850866,1572684826.3069355,2926892104.4365873,2270300377.366727,4040200311.8989034,12572836639.00734
2007,12721760579.515461,18107218184.288094,13354975807.438068,11820774586.625477,12054336155.714096,18983958439.194946,4121245037.163132,3204306696.0493474,3215249503.002575,3213797481.7332015,148991627.59152958,2746451996.9653077,687948428.767334,4196875927.7819004,3827560296.7759137,2941041286.7719126,511515951.943404,2736985282.557311,283980942.20535475,5604683319.372197,11996452752.443054,2337944408.313262,5292563994.430214,5187738004.669598,6837074296.17974,3789614224.599279,6413759983.648044,622168362.3817911,5900943844.205589,7234245125.177643,617562809.4839989,3449515579.039373,515680182.94549346,4871961704.768408,319659969.48262364,74937058.21385273,5562461261.317209,5450609.197177932,1326521142.5453985,2190692026.0253215,4526521231.663222,2180251267.621983,3775756909.297593,3657975200.3800607,2491293573.810643,2297486889.3946667,1511519746.783508,2741040904.813006,2110407768.160765,3771349755.9978156,11310360761.00383
2008,12947552672.215117,18433773826.095425,13574154926.16251,12141026049.413927,12307396146.126205,19398555613.809105,4239739233.2161274,3241560935.737778,3241788099.430222,3262972409.332426,143689782.35322058,2771620894.4260955,684981439.5193924,4226542364.095966,3877476966.0216064,2927309712.3119826,497666123.5240019,2771208442.535873,300357644.9321667,5773342793.2870035,12312950024.047916,2339230234.673742,5402608545.008863,5254844210.236391,7080280340.318767,3841627846.075561,6561632975.687667,640126692.1558576,5998311064.745653,7398709226.455664,617720887.2246948,3527076250.823242,523619462.96714544,5002493499.993081,322606205.76163805,72941432.14319175,5632976777.787823,5356179.653343854,1351226913.1920776,2229574945.292664,4611203244.616423,2247957419.1501822,3844885518.9928327,3721160261.8646307,2522161746.647785,2340014808.416978,1519191473.8566868,2748884775.955594,2144680921.8543053,3815349906.2868276,11779537600.667273
2009,11653418052.521713,16463342762.745958,12051778353.335115,10719512534.335104,11005841338.146358,16849632186.74665,3785134159.1779356,2856097565.7166176,2931097746.333307,2954159037.8037114,127908106.32047507,2451799725.581646,634464012.6152737,3712027287.32436,3461287577.9383297,2661520975.2994,465535479.1157852,2502036152.216743,258185880.52613088,5013125082.185898,10866607204.876951,2105794176.0155556,4742967501.847105,4579933121.6601095,6223712601.416686,3407834197.026794,5792261233.107547,579178693.9076378,5275550411.413548,6555966181.808698,544782430.4212365,3131201097.512229,465807809.7450891,4315350675.819544,282870643.6964356,59251770.814775884,5045669236.394303,4652002.004070482,1204299510.495088,1953959060.9820573,4031388595.3537655,2015875733.2890048,3388258451.85214,3310352885.2758408,2199256518.188995,2099137716.0153158,1363708879.007603,2445104679.015497,1898332090.4414766,3424547909.0882406,10483539189.814747
2010,13382048011.5514,18915596052.34829,13928986823.196188,12732978406.668806,12885751421.706038,20882369585.374386,4353909214.733243,3363131354.007281,3448126324.850927,3434999642.3957467,156416913.3176235,2890504131.093458,746382417.157087,4543599894.479955,4042730424.3958354,3075368752.5020437,545032805.7609628,2906294962.3504004,291354405.5119637,5855560527.77665,12687965982.463556,2487458266.0398564,5802377463.609773,5650002969.110929,7359524191.678153,4106108618.3340793,6723741531.147512,677063314.7698159,6460288715.840775,7648771428.805015,636068163.9886516,3765925577.2926097,539461851.3532804,5302761908.656917,340666638.0838936,75552333.05290735,5854915946.575625,4561078.335575619,1400354742.9748724,2260856691.1424675,4966650972.476282,2321511390.2274837,4154539666.1179805,3963225801.8534074,2623040840.6304097,2478608926.7154765,1588466417.8585463,2935913025.019916,2272634354.893688,3991891577.971647,12468573881.066427
