Year,AZ,CA,NV,CO,NM,TX,GA,TN,NC,FL,DE,IN,MD,IL,NY,OH,NJ,PA,HI,WA,MT,ME,ND,SD,WY,WI,ID,VT,MN,OR,NH,IA,MA,NE,CT,RI,UT,DC,WV,KY,KS,VA,MO,OK,AL,MS,SC,AR,LA,MI,AK
2001,178784.16464442786,269543.9246481668,199997.33501821622,185680.71171018793,191353.63621587906,363846.9099114958,79124.4510584128,64270.35962813051,69398.4941229906,69309.1874901249,3191.538565743425,60646.679653191066,15675.772828250549,95657.69654112421,88042.7175308098,68461.17525371048,12940.960387543368,75260.73966717829,7966.802539584147,158736.01913956343,342230.30733133777,65327.19594387704,155651.9159590764,152249.1936298306,196002.02469937273,109148.52987713763,181627.17748908926,17816.193971457153,172848.51967573984,206112.93986524004,17391.710537666273,99069.6904985969,14301.708267771151,143588.07187866422,8793.741272380947,2058.6621231796958,156927.92215815626,137.92433100130435,37567.650059791056,61486.85616267886,132302.37337138428,62225.95690836271,110881.20008582855,106163.48598063203,70664.48792575461,66840.70649931196,42246.08899796342,77844.2295864805,60018.04347166512,107521.64164205421,332816.06972065225
2002,162184.01742689818,247605.53564479918,182645.55737729883,166740.22477819602,171434.32970590863,316867.4004675595,71704.1883395029,58296.77015962929,63381.00297551315,62327.14310189985,2922.2970391278873,53491.87488178572,13999.850175307563,83788.23813716011,80353.69279816005,61326.99180836156,11346.556906665865,67767.34887573929,7195.812884172472,144383.70980066538,309229.39798124344,60795.662524777654,137436.84069722606,131788.56258658983,176917.73405029345,96986.49913342012,164063.43496806355,16200.401832087797,152872.25014207416,186225.72647718192,16467.856438962066,89244.30470008522,13393.58262742874,123930.39329958057,8221.258707603321,1831.9821528320856,143353.17604092276,123.91671145293337,33567.15153750438,56289.61170232462,116248.95139062885,56646.00572372256,97498.45341206327,93491.69878374398,63138.66258127676,59347.98533516275,38233.716895268546,69575.11163248906,53905.362737345204,96205.65756373573,295650.8422237097
2003,146173.0842528761,223185.93257365172,165136.83384053202,149285.09026063723,154411.53395955515,277783.7236116736,63789.75725764655,51676.720930418734,54888.55318551504,54911.29234378187,2484.5321396903128,47388.54526803223,12521.561413675501,74715.5208729375,70658.63357592019,54150.179218764606,9670.112826167911,58957.1197569853,6917.1554754759945,129628.92772551623,278121.6569939074,53324.63957497127,120350.07603957436,115651.5083341197,157488.04609823992,84975.15352999794,148080.73464444466,14305.10947854773,132417.77354516395,169089.43307673518,14020.780896729773,78069.27790925607,11853.62972706329,108864.34052313068,7195.65037953382,1629.8626766074922,129665.75424962076,123.91671145293337,29709.842354900942,49715.95158658074,101592.45051707026,50097.63148661489,85617.57327472958,82344.68508771573,56044.51126224736,52149.51786482217,34111.62937421599,61898.178913667296,47569.601099184634,85419.21770795812,261067.41387314367
2004,139368.63982592797,213002.95331517508,157956.4344588458,142788.0874998117,148241.48106494403,267495.89638047945,61166.291511995434,49902.705274384454,53212.78464531831,53585.030679839016,2449.183066062734,45466.94594079138,11990.965612358408,72249.98806599317,68229.47367207066,52393.45236220809,9521.65820235186,57587.54285957144,6222.456277620437,122933.53796745575,263174.9150678795,51508.072884600006,115321.01212472138,111437.78084578073,151169.96784626812,82267.27153016861,141546.80036193554,13915.348137990333,128747.754979964,159186.77194651595,13467.585537318451,75213.59060073299,11520.945381642488,105568.81476475434,6885.934406565231,1557.4340717742386,123285.17736411122,126.10136530945894,28615.774167181375,47762.63859405312,97868.67715318836,47991.09398793391,82469.84012514535,79456.61411716923,53394.69822470787,50535.28731741306,33003.223918550844,59255.246001844076,46096.93760498021,82439.8219302189,250699.81409702182
2005,150763.40540442066,229481.45371179207,172118.64241995077,157436.518596136,161565.62503548115,296232.05471023003,65829.60605495368,53762.02939444609,56378.58187549909,57292.36248827615,2479.954706468043,48984.23865901729,13033.874713673753,78072.72013402767,72091.94059944001,55462.73376411674,10264.163560041445,61232.75222413754,6868.299171311025,134297.5019060172,292327.3631823372,53845.10246290535,128076.48071252914,121991.08074830435,166103.70658416097,90752.09747468347,154565.70139431386,14933.299829755097,139475.65488422892,174726.45692435204,14043.763346484924,81801.59586880694,12193.741956547274,115891.33729803277,7572.136703787355,1637.90913960473,133926.667822494,123.91671145293337,30995.983250360718,51138.54765173226,107502.35882502681,51972.85797252138,90219.50962311294,86842.65638417246,58470.34268736336,54503.495215394774,35089.53087981516,64303.11757337123,50035.88225184351,88640.91010713534,277075.74096273846
2006,154654.81595589392,234553.18848396264,176545.61771145614,163099.36836841574,167085.8160348877,312717.5334105,67698.48928670284,55882.29246291105,58783.6551912465,59290.30654383019,2639.158037844416,51736.01346131034,13281.61709668869,82325.62841179234,74314.22402693328,57747.179844955754,10837.212346790551,63563.784166289835,6955.618786806691,138918.0054505998,299223.22342021397,55849.80584893276,134698.96284757802,128686.73248323507,171815.37209282958,93788.40059644367,157909.48311744633,15249.196563024838,147531.17145584352,178713.49697327754,14524.507922676277,86032.74664223305,12451.819105551114,123216.68950860747,7482.577527962741,1679.9539329247439,137981.52823813292,123.91671145293337,32671.779005709603,53471.1787817812,113401.5569671615,54339.489608794436,94503.33034554483,91648.14327776317,60955.077875028,57159.968639784114,36384.50247019835,67714.46587549977,52524.03298273445,93471.16203414799,290876.08533973765
2007,145224.41559640318,223620.3989186231,166113.49104023963,150262.0438573734,155509.53452776486,286434.24642136466,63564.10291780004,52951.807066072215,55789.271089528746,55764.07640148047,2598.2132375969713,49128.81465421753,12434.28042166538,76654.6548501011,71798.6561562201,55468.867792303594,10143.483717805004,59736.71560283013,6569.978370951591,129665.9131361007,277541.28322701564,54088.99652145535,122444.9454257318,120019.76689053717,158177.62240539907,87673.78295358531,148384.12761716242,14394.03874145447,136519.98307898545,167366.28040415567,14287.487989527895,79805.50585031859,11930.404984113859,112714.19404364582,7395.422626780166,1733.6897603914886,128689.09403674606,126.10136530945894,30689.43692999891,50682.27155184982,104722.33226895276,50440.721691660176,87353.19009582297,84628.27738135602,57636.77227252095,53153.000527592296,34969.43128124563,63414.74649200911,48824.87283487303,87251.22937398,261668.35348309367
2008,147801.93028107617,227653.2935436764,168839.71152160974,154332.98176370616,158774.18890675643,292689.78209688794,65391.70045329126,53567.44080512941,56249.754466963386,56617.33315933998,2505.7562002147706,49579.03847016931,12380.653761912592,77196.50323337923,72735.00973232284,55209.88642685196,9868.838306390402,60483.661224970645,6948.857960078484,133567.89714626374,284863.53595552937,54118.74447324236,124990.85682220872,121572.28768896333,163804.26212730905,88877.13260599591,151805.210566615,14809.509713829468,138772.6009061536,171171.20329723204,14291.145162186127,81599.89364303177,12114.082443657808,115734.08356400464,7463.584625534382,1687.5203941694801,130320.49019463814,123.91671145293337,31261.011830504023,51581.83874323251,106681.47427753446,52007.122407377756,88952.49977831288,86090.08141685596,58350.91606793158,54136.89580580476,35146.91882863956,63596.216640502586,49617.79181289384,88269.18513351974,272522.8906390105
2009,133028.82221373296,203318.87751448227,149903.90131599427,136263.14001337774,141983.20351056973,254231.0505654807,58380.09025963749,47197.581757128835,50858.82343108627,51258.97049286623,2230.545034039972,43858.04464103432,11467.579720254675,67799.04276426641,64927.98999809956,50197.03591695115,9231.679939854517,54608.778134648695,5973.202418333894,115980.04818583347,251401.99108868188,48718.1360927144,109729.87715044356,105958.03125391375,143987.32837767777,78841.19544213651,134005.58053257797,13399.460760776788,122051.33143331425,151674.107708344,12603.693603332013,72441.21146298027,10776.59370829334,99836.84251143414,6544.29130500872,1370.806257879652,116732.9662781149,107.62536496642178,27861.805354453765,45205.38832177477,93267.30051209315,46637.84781958077,78388.30511296874,76585.93808295608,50880.4134688267,48564.13703246359,31549.785593976176,56568.1792978464,43918.44283009826,79227.8718362962,242539.60562711928
2010,152761.8830596307,233603.6983682019,173253.2249564949,161857.69771319625,166235.38449109095,315077.90194745053,67152.60338185685,55576.41620722967,59830.02380014519,59602.256702967985,2727.700216015439,51705.63398546606,13490.441853847726,82987.4620268777,75834.88937273821,58002.3216649073,10808.13094860739,63432.023814774846,6740.565502845741,135470.02738469007,293539.6348388506,57548.04135662219,134239.62234918302,130714.39588374585,170264.64657918437,94995.96910177189,155555.63724963946,15664.048788829128,149460.58282489466,176956.4621532284,14715.614531746487,87125.73948548014,12480.60052135984,122680.8770181048,7881.417768863594,1747.9243155464283,135455.11481866776,105.52182051453096,32397.597886519412,52305.55066573956,114904.85668449293,53708.8140607775,96116.43491173629,91690.33525687906,60684.78206753004,57343.30942106677,36749.613996162254,67923.16739137702,52578.030204348295,92353.52598940037,288463.9373299177
2011,157744.16598899453,239947.802396645,178306.93967018367,165392.4203054404,170009.05250653165,320059.1034027093,70005.8821984306,57250.87715429252,61124.263371594345,61451.361214492936,2613.915966767619,53040.82878602943,13799.657133418987,84234.31392393829,78616.77448006053,59667.496414716945,11227.506947801967,65449.778378153824,6837.674102846263,140492.49178658408,301183.31205148174,58996.39972802791,137263.31292613345,131663.71139135264,173574.8932677966,96105.48920152773,158425.3292906034,15846.825052412327,151605.75352950144,180656.9898333912,15357.202951512436,88935.01178894138,13096.095657453188,126617.38437499874,7916.539730347226,1802.027186716836,138447.90778989156,123.91671145293337,33802.25558421264,54448.12746898726,118361.01174495865,55697.07093990244,97071.28573570549,94482.16942303111,62060.44651207811,58221.09901215515,37649.09371593652,69189.9217019405,53739.25147329996,95272.08284686267,297148.39400274254
2012,168870.91266639953,255999.1830656135,191068.08107016594,178299.13857669107,182683.51260250682,351103.5803316928,75034.80183479712,60947.82141013487,65242.114325630246,65777.9778585143,2946.7741191173577,56377.82450707595,14682.064458625455,91078.25972460475,84366.09330846705,64123.70491934132,11819.094816451157,69481.93756804721,7242.0109013531355,150915.904072141,328353.7220158249,62895.12700744954,149644.45193364695,145434.49177445465,188575.2118124039,104291.37668939044,172087.75222676806,16701.88396863581,165024.06754535448,196636.0938860169,16213.16294229241,96474.53065768063,13987.710514816465,138120.5816778595,8408.961815754254,2000.2042840127883,148815.13021437413,123.91671145293337,35503.77044890006,58410.70421062456,128575.53242794634,58697.6075557872,105250.75417377197,101817.38263457571,67088.1182895292,64085.94255800549,39715.6685957065,74473.14852461978,57854.66352115773,102167.54138653965,325365.4418988697
2013,144260.55003082845,222002.74601022352,164823.1268935017,148827.61928110095,154880.2127231489,280521.6426300145,63251.54298579801,51441.34901765304,56476.31141247024,55834.554720900436,2395.0072444296156,47502.35683738232,12533.833093941948,75514.8033089617,71730.30783569081,54378.67438356731,10311.827965374416,60153.24594599543,6616.090458161168,128065.05339738245,277402.4757183563,54186.55784532553,120301.05809547551,115736.89839526561,159176.5693892687,85394.95827511558,146795.09244107734,14448.999199066824,133735.14213562428,167677.10644220107,14178.82165692966,79296.51533765372,11898.276869947933,110304.1694726373,7315.4268942410135,1623.566288469754,128484.45106040667,123.91671145293337,30390.097019210967,49982.84258465258,102773.73025936229,51020.67383574447,86062.28179364065,83428.28664117625,56281.688480532335,52466.26711512945,34248.90630969212,61841.16217510943,47795.07064021652,86307.14715563187,263524.7996368562
2014,151611.6495363879,232398.7390362597,173064.36960554612,159064.1054628302,162745.19176371265,304011.1106234167,67881.61537650794,55599.29715466937,59739.517933997,59391.803486779325,2698.3891345847746,51835.831358776144,13309.062306566198,80612.28964544249,75549.88502632882,58401.95769186971,10786.337238522921,62913.588208637746,6858.408458219442,136630.05893279403,292366.44940723194,56346.54762394907,130162.264925965,125728.95733194887,168039.18323663287,92619.54391425327,155177.62308468335,15264.373475499591,145368.54892974973,175294.02497555804,14751.866323660199,84264.44051143646,12631.356231714157,119641.88618444066,7910.60218034434,1794.2905060078433,133371.08527929042,123.91671145293337,32689.165086568286,53318.66220930174,111649.69343091307,53687.595208511026,93206.84192131946,89452.34837482468,59918.69272137957,56608.268658990004,36712.11249926095,66072.30965103002,51625.21531470366,91872.57327505128,281287.09662440466
2015,151638.1309797884,233336.1281292498,173009.11153740322,155269.74327810964,161364.11934350914,291171.85249844706,66728.76071323517,54009.15075425368,59489.501401466725,57953.74327655921,2718.104682484495,49242.12696224711,13149.424554110545,78372.2920558014,75352.79439467403,57180.625135086535,10333.802655079859,62898.100605219566,7094.294081081343,134865.9618148511,289242.6137243396,57380.28417199135,125444.58144662158,119774.33353064672,165393.66223860497,89818.89705321485,154214.39711970274,15177.208535081721,140003.68943519783,175915.29422601144,15333.574564414837,81845.21610505797,12915.667501628724,114792.49143882813,7849.045405419956,1793.79751324397,135171.38401689078,126.10136530945894,31563.510176128235,52404.13960338678,106786.08560745338,52790.6910138828,90231.01578299378,86769.08694760063,58754.3581597486,54769.458237005914,35645.56995251882,63888.210088769534,49702.80972542025,90101.46082402758,272559.04268637876
2016,197406.3541314317,297892.35776360106,220384.40498518976,203809.68519728657,209612.13260431486,398444.33128743863,83563.5714769524,69649.59288347991,75323.45448149348,75287.59858090755,3558.864013274648,65280.549950805216,17439.77915550246,103040.65630897715,94982.86284825228,73906.20450770532,13562.989629904085,80507.7276845376,8696.410183953089,174580.53656341686,374305.81382885185,71214.83133099655,169780.66556465835,164893.40390888194,215946.62592499933,117763.91684125217,198308.85865140188,19721.872795087453,188892.33737941703,225149.8160133543,18435.763555403868,107855.97592586376,15712.40306195607,156394.84216606102,9941.929020537995,2094.2463216459055,173056.82769705445,174.6259247099222,41272.722942570676,67502.31044756695,145124.32685779984,67683.65054460989,120401.23314669594,116303.40635290681,76525.94156450705,72387.56850304363,46221.5771893973,84637.89717835313,66084.08891599142,117476.71173509557,366693.8476315224
