,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2,Renewable Fuel Volume Requirements for RFS2
,Year,Biomass-Based Diesel,Biomass-Based Diesel,Cellulosic Biofuel,Cellulosic Biofuel,Total Advanced Biofuel,Total Advanced Biofuel,Total Renewable Fuel,Total Renewable Fuel,Unnamed: 9_level_1
,Year,billion US gallons,million cubic meters,billion US gallons,million cubic meters,billion US gallons,million cubic meters,billion US gallons,million cubic meters,Unnamed: 9_level_2
0,2009,0.5,1.9,—,—,0.6,2.3,11.1,42.0,
1,2010,0.65,2.5,0.1,0.38,0.95,3.6,12.95,49.0,
2,2011,0.8,3.0,0.25,0.95,1.35,5.1,13.95,52.8,
3,2012,1.0,3.8,0.5,1.9,2.0,7.6,15.2,58.0,
4,2013,1.0,3.8,1.0,3.8,2.75,10.4,16.55,62.6,
5,2014,1.0,3.8,1.75,6.6,3.75,14.2,18.15,68.7,
6,2015,1.0,3.8,3.0,11,5.5,21.0,20.5,78.0,
7,2016,1.0,3.8,4.25,16.1,7.25,27.4,22.25,84.2,
8,2017,1.0,3.8,5.5,21,9.0,34.0,24.0,91.0,
9,2018,1.0,3.8,5.5,21,9.0,34.0,24.0,91.0,
10,2019,1.0,3.8,8.5,32,13.0,49.0,28.0,106.0,
11,2020,1.0,3.8,10.5,40,15.0,57.0,30.0,114.0,
12,2021,1.0,3.8,13.5,51,18.0,68.0,33.0,125.0,
13,2022,1.0,3.8,16.0,61,21.0,79.0,36.0,136.0,
