,Rank,Rank w/o Hydropower,State,% Renewable,% Renewable,Renewable Electricity,Renewable Electricity,Total electricity (GW•h)
,Rank,Rank w/o Hydropower,State,with  Hydro,w/o  Hydro,with Hydro  (GW•h),w/o Hydro  (GW•h),Total electricity (GW•h)
0,,,,13.3,7.2,544241,295161,4077601
1,1.0,1.0,,99.7,42.3,1977,838,1982
2,2.0,4.0,,76.3,25.9,7348,2498,9633
3,3.0,18.0,,75.5,8.3,82472,9067,109287
4,4.0,9.0,,74.7,18.8,11704,2947,15667
5,5.0,12.0,,67.7,13.7,39204,7950,57867
6,6.0,2.0,,66.5,37.9,7810,4449,11741
7,7.0,21.0,,40.5,6.8,11874,1986,29302
8,8.0,3.0,,33.7,32.0,19091,18131,56659
9,9.0,6.0,,30.1,23.1,59203,45395,196704
10,10.0,31.0,,28.4,3.42,1784,215,6285
11,11.0,5.0,,24.3,24.3,11081,11062,45527
12,12.0,28.0,,23.3,4.56,32334,6319,138628
13,13.0,10.0,,23.2,17.5,8603,6509,37157
14,14.0,8.0,,22.4,18.9,17033,14369,76136
15,15.0,7.0,,21.8,20.3,12437,11588,56980
16,16.0,13.0,,18.9,13.1,7367,5103,39047
17,17.0,11.0,,18.0,14.9,9427,7807,52393
18,18.0,16.0,,16.6,10.2,3318,2048,20016
19,19.0,48.0,,14.2,1.5,10707,1126,75215
20,20.0,14.0,,13.2,12.0,1339,1218,10120
21,21.0,19.0,,12.4,8.2,4936,3251,39883
22,22.0,15.0,,10.6,10.4,47630,46674,449826
23,23.0,20.0,,9.4,7.7,4625,3757,48967
24,24.0,30.0,,9.4,3.65,10671,4135,113142
25,25.0,37.0,,9.0,2.56,4991,1422,55559
26,26.0,17.0,,8.7,8.4,2833,2734,32701
27,27.0,42.0,,8.6,2.16,13151,3289,152477
28,28.0,27.0,,8.3,4.76,5503,3162,66360
29,29.0,24.0,,8.3,5.7,2660,1833,32086
30,30.0,22.0,,7.8,6.4,8782,7283,113008
31,31.0,34.0,,7.4,2.94,2691,1068,36366
32,32.0,33.0,,6.8,3.09,8705,3963,128388
33,33.0,26.0,,6.3,4.91,5302,4144,84412
34,34.0,29.0,,6.1,3.78,7847,4863,128818
35,35.0,23.0,,5.9,5.8,11447,11323,193952
36,36.0,25.0,,5.3,4.92,5499,5118,104019
37,37.0,39.0,,5.0,2.38,4858,2294,96532
38,38.0,35.0,,4.63,2.79,1941,1172,41949
39,39.0,50.0,,4.6,0.53,3844,441,83544
40,40.0,36.0,,3.93,2.71,8425,5821,214572
41,41.0,45.0,,3.83,1.91,2766,1381,72295
42,42.0,32.0,,3.44,3.4,239,236,6939
43,43.0,38.0,,3.44,2.51,3704,2705,107812
44,44.0,49.0,,3.32,1.41,2774,1179,83640
45,45.0,43.0,,2.95,2.15,1107,805,37471
46,46.0,40.0,,2.33,2.33,1507,1507,64758
47,47.0,41.0,,2.27,2.17,5387,5143,237413
48,48.0,44.0,,2.15,2.14,1605,1595,74609
49,49.0,46.0,,2.06,1.69,2515,2058,121893
50,50.0,47.0,,1.66,1.66,130,130,7810
