,Power source,Summer  capacity (GW),share of,share of,Capacity  factor,Energy  generation (TWh),Share of,Share of
,Power source,Summer  capacity (GW),renewable,total,Capacity  factor,Energy  generation (TWh),renewable,total
0,Preliminary electricity production by renewable sources in 2018,Preliminary electricity production by renewable sources in 2018,Preliminary electricity production by renewable sources in 2018,Preliminary electricity production by renewable sources in 2018,Preliminary electricity production by renewable sources in 2018,Preliminary electricity production by renewable sources in 2018,Preliminary electricity production by renewable sources in 2018,Preliminary electricity production by renewable sources in 2018
1,Hydro,79.89,35.91%,7.28%,0.417,291.72,40.93%,6.98%
2,Wind,94.30,42.38%,8.59%,0.333,274.95,38.57%,6.58%
3,Biomass,13.83,6.22%,1.26%,0.518,62.76,8.81%,1.5%
4,Solar,31.93,14.35%,2.91%,0.238,66.60,9.34%,1.59%
5,GeoThermal,2.54,1.14%,0.23%,0.752,16.73,2.35%,0.40%
6,Total,222.49,100%,20.27%,0.366,712.77,100%,17.06%
7,Electric production by renewable sources in 2017,Electric production by renewable sources in 2017,Electric production by renewable sources in 2017,Electric production by renewable sources in 2017,Electric production by renewable sources in 2017,Electric production by renewable sources in 2017,Electric production by renewable sources in 2017,Electric production by renewable sources in 2017
8,Hydro,79.79,37.85%,7.44%,0.430,300.33,43.74%,7.44%
9,Wind,87.60,41.56%,8.17%,0.331,254.30,37.04%,6.30%
10,Biomass,13.96,6.62%,1.30%,0.513,62.76,9.14%,1.56%
11,Solar,26.97,12.79%,2.51%,0.226,53.29,7.76%,1.32%
12,GeoThermal,2.48,1.18%,0.23%,0.733,15.93,2.32%,0.39%
13,Total,210.8,100%,19.66%,0.372,686.61,100%,17.02%
14,"Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass.","Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass.","Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass.","Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass.","Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass.","Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass.","Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass.","Note: Biomass includes wood and wood derived fuel, landfill gas, biogenic municipal solid waste and other waste biomass."
