,Biomass Electric Generation in the United States,Biomass Electric Generation in the United States,Biomass Electric Generation in the United States,Biomass Electric Generation in the United States,Biomass Electric Generation in the United States,Biomass Electric Generation in the United States,Biomass Electric Generation in the United States,Biomass Electric Generation in the United States
,Year,Summer capacity  (GW),Electricity generation  (TWh),Capacity factor,Yearly growth of  generating capacity,Yearly growth of  produced energy,Portion of  renewable electricity,Portion of  total electricity
0,2018,13.83,62.76,0.518,-1%,0 %,8.8%,1.50%
1,2017,13.96,62.76,0.513,-0.05%,0 %,9.14%,1.56%
2,2016,14.04,62.76,0.51,-0.4%,-1.40%,10.3%,1.54%
3,2015,14.09,63.632,0.515,4.13%,-0.66%,11.69%,1.56%
4,2014,13.53,63.989,0.54,1.02%,5.14%,11.88%,1.56%
5,2013,13.401,60.858000000000004,0.519,13.99%,10.96%,11.65%,1.49%
6,2012,12.319,57.602,0.534,12.15%,4.01%,11.65%,1.42%
7,2011,11.613,56.67100000000001,0.557,4.39%,2.36%,11.04%,1.38%
8,2010,11.405999999999999,56.089,0.561,2.61%,5.68%,13.13%,1.36%
9,2009,11.255999999999998,54.493,0.5529999999999999,4.22%,0.65%,13.05%,1.38%
10,2008,11.05,55.034,0.569,3.65%,2.93%,14.45%,1.34%
11,2007,10.838,55.538999999999994,0.585,16.13%,3.30%,15.74%,1.34%
12,2006,10.099,54.861000000000004,0.62,6.16%,4.16%,14.22%,1.35%
13,2005,9.802,54.276,0.632,2.45%,1.93%,15.17%,1.34%
14,2004,9.711,53.538000000000004,0.629,-0.79%,-0.90%,15.23%,1.35%
