,Total technical potential,Total technical potential,Total technical potential,Total technical potential
,Type,Resource,Potential capacity (GW),Potential generation (TWh)
0,Solar,Urban utility-scale PV,1200,2200
1,Solar,Rural utility-scale PV,153000,280600
2,Solar,Rooftop PV,664,800
3,Solar,Concentrating solar power,38000,116100
4,Solar,Total,192922,399810
5,Wind,Onshore wind power,11000,32700
6,Wind,Offshore wind power,4200,17000
7,Wind,Total,15178,49760
8,Bioenergy,Biomass/biofuel/methane,62,488
9,Bioenergy,Total,62,488
10,Geothermal,Hydrothermal power systems,38,300
11,Geothermal,Enhanced geothermal systems,3976,31300
12,Geothermal,Total,4014,31653
13,Hydro,Hydropower,60,259
14,Hydro,Total,60,259
15,Total,Total,212236,481970
