,Year,US total,Hydro,Wind,Wood,Other  biomass,Geothermal,Solar,Total,Renewable  % of US total
0,2014,4093.61,259.37,181.66,42.34,21.65,15.88,17.69,538.58,13.16 %
1,2013,4065.96,268.57,167.84,39.94,20.83,15.78,9.04,522.07,12.69 %
2,2012,4047.76,276.24,140.82,37.8,19.82,15.56,4.33,494.57,12.22 %
3,2011,4100.7,319.4,120.2,37.4,19.2,15.3,1.814,513.4,12.52 %
4,2010,4125.1,260.2,94.7,37.2,18.9,15.2,1.212,427.4,10.36 %
5,2009,3950.3,273.4,73.9,36.1,18.4,15.0,0.891,417.7,10.57 %
6,2008,4119.4,254.8,55.4,37.3,17.7,14.8,0.864,380.9,9.25 %
7,2007,4156.7,247.5,34.5,39.0,16.5,14.6,0.612,352.7,8.49 %
8,2006,4064.7,289.2,26.6,38.8,16.1,14.6,0.508,385.8,9.49 %
9,2005,4055.4,270.3,17.8,38.9,15.4,14.7,0.550,357.7,8.82 %
10,2004,3970.6,268.4,14.1,38.1,15.4,14.8,0.575,351.5,8.85 %
11,2003,3883.2,275.8,11.2,37.5,15.8,14.4,0.534,355.3,9.15 %
12,2002,3858.5,264.3,10.4,38.7,15.0,14.5,0.555,343.4,8.90 %
13,2001,3736.6,217.0,6.7,35.2,14.5,13.7,0.543,287.7,7.70 %
14,2000,3802.1,275.6,5.6,37.6,23.1,14.1,0.493,356.5,9.38 %
15,1999,3694.8,319.5,4.5,37.0,22.6,14.8,0.495,399.0,10.80 %
16,1998,3620.3,323.3,3.0,36.3,22.4,14.8,0.502,400.4,11.06 %
17,"Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal.","Bio Other includes Waste, Landfill Gas, and Other. Solar includes Utility Scale Photovoltaics and Thermal."
