,Arizona Solar Capacity (MWp),Arizona Solar Capacity (MWp),Arizona Solar Capacity (MWp),Arizona Solar Capacity (MWp),Arizona Solar Capacity (MWp),Arizona Solar Capacity (MWp),Arizona Solar Capacity (MWp)
,Year,Photovoltaics,Photovoltaics,Photovoltaics,CSP,CSP,CSP
,Year,Capacity,Installed,% Change,Capacity,Installed,% Change
0,2007,18.9,2.8,17,1.0,0.0,
1,2008,25.3,6.2,34,1.0,0.0,
2,2009,46.2,21.1,83,1.0,0.0,
3,2010,110.0,63.6,138,2.5,1.5,150.0
4,2011,397.6,287.8,261,6.0,3.5,140.0
5,2012,1106.4,708.8,178,6.0,0.0,0.0
6,2013,1563.1,423.7,37,256.0,250.0,4200.0
7,2014,2069.0,287.8,32,256.0,0.0,0.0
8,2015,2303.0,234.0,11,256.0,0.0,0.0
