,New Mexico Solar Capacity (MWp),New Mexico Solar Capacity (MWp),New Mexico Solar Capacity (MWp),New Mexico Solar Capacity (MWp),New Mexico Solar Capacity (MWp),New Mexico Solar Capacity (MWp),New Mexico Solar Capacity (MWp)
,Year,Photovoltaics,Photovoltaics,Photovoltaics,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
,Year,Capacity,Installed,% Change,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
0,2007,0.5,0.2,67%,,,
1,2008,1.0,0.6,100%,,,
2,2009,2.4,1.4,140%,,,
3,2010,43.3,40.9,1704%,,,
4,2011,165.5,122.1,282%,,,
5,2012,203.4,37.9,23%,,,
6,2013,256.6,49.1,24%,,,
7,2014,325.0,68.4,27%,,,
8,2015,365.0,41.0,13%,,,
9,2016,630.0,265.0,73%,,,
10,2017,695.0,65.0,10%,,,
11,2018,792.0,97.0,14%,,,
