,United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW),United States grid-connected CSP capacity by state (MW)
,Unnamed: 0_level_1,United States,California,Arizona,Florida,Nevada,Colorado,New Mexico,Hawaii
0,1982,10,10.0,0.0,0,0,0.0,0,0.0
1,1983,10,10.0,0.0,0,0,0.0,0,0.0
2,1984,10,10.0,0.0,0,0,0.0,0,0.0
3,1985,24,24.0,0.0,0,0,0.0,0,0.0
4,1986,54,54.0,0.0,0,0,0.0,0,0.0
5,1987,114,114.0,0.0,0,0,0.0,0,0.0
6,1988,144,144.0,0.0,0,0,0.0,0,0.0
7,1989,204,204.0,0.0,0,0,0.0,0,0.0
8,1990,284,284.0,0.0,0,0,0.0,0,0.0
9,1991,364,364.0,0.0,0,0,0.0,0,0.0
10,1992,364,364.0,0.0,0,0,0.0,0,0.0
11,1993,364,364.0,0.0,0,0,0.0,0,0.0
12,1994,364,364.0,0.0,0,0,0.0,0,0.0
13,1995,364,364.0,0.0,0,0,0.0,0,0.0
14,1996,364,364.0,0.0,0,0,0.0,0,0.0
15,1997,364,364.0,0.0,0,0,0.0,0,0.0
16,1998,364,364.0,0.0,0,0,0.0,0,0.0
17,1999,354,354.0,0.0,0,0,0.0,0,0.0
18,2000,354,354.0,0.0,0,0,0.0,0,0.0
19,2001,354,354.0,0.0,0,0,0.0,0,0.0
20,2002,354,354.0,0.0,0,0,0.0,0,0.0
21,2003,354,354.0,0.0,0,0,0.0,0,0.0
22,2004,354,354.0,0.0,0,0,0.0,0,0.0
23,2005,354,354.0,1.0,0,0,0.0,0,0.0
24,2006,355,354.0,1.0,0,0,0.0,0,0.0
25,2007,419,354.0,1.0,0,64,0.0,0,0.0
26,2008,419,354.0,1.0,0,64,0.0,0,0.0
27,2009,430,364.0,1.0,0,64,0.0,0,0.8
28,2010,507,364.0,2.5,75,64,1.0,0,0.8
29,2011,516,364.5,4.8,75,64,2.4,6,0.8
30,2012,546,364.5,3.7,75,64,31.8,6,0.8
31,2013,918,489.5,283.7,75,64,31.8,6,0.8
32,2014,2200,1256.5,283.7,75,64,31.8,6,0.8
33,2015,2310,1256.5,283.7,75,174,31.8,6,0.8
