,Solar thermal electricity generation in the United States,Solar thermal electricity generation in the United States,Solar thermal electricity generation in the United States,Solar thermal electricity generation in the United States,Solar thermal electricity generation in the United States,Solar thermal electricity generation in the United States,Solar thermal electricity generation in the United States,Solar thermal electricity generation in the United States
,Year,Summer capacity  (GW),Electricity generation  (TWh),Capacity factor,Yearly growth of  generating capacity,Yearly growth of  produced energy,Portion of  renewable electricity,Portion of  total electricity
0,2018,1.76,3.59,0.233,0%,9.8%,0.48%,0.09%
1,2017,1.76,3.27,0.212,0%,-3%,0.46%,0.08%
2,2016,1.76,3.384,0.22,0%,5%,0.56%,0.08%
3,2015,1.76,3.227,0.21,5.4%,32.0%,0.60%,0.09%
4,2014,1.66,2.4459999999999997,0.168,28.68%,164.15%,0.45%,0.06%
5,2013,1.29,0.9259999999999999,0.08199999999999999,171.01%,5.71%,0.18%,0.02%
6,2012,0.47600000000000003,0.8759999999999999,0.21,1.06%,8.68%,0.18%,0.02%
7,2011,0.47100000000000003,0.8059999999999999,0.195,,2.15%,0.16%,0.02%
8,2010,,0.789,0.245,,7.35%,0.18%,0.02%
9,2009,,0.735,0.23600000000000002,,-6.73%,0.18%,0.02%
10,2008,,0.7879999999999999,0.195,,32.21%,0.21%,0.02%
11,2007,,0.596,,,20.89%,0.17%,0.01%
12,2006,,0.493,,,-7.85%,0.13%,0.01%
13,2005,,0.535,,,-5.98%,0.15%,0.01%
14,2004,,0.569,,,,0.16%,0.01%
