,Solar PV capacity in the United States,Solar PV capacity in the United States,Solar PV capacity in the United States,Solar PV capacity in the United States
,Unnamed: 0_level_1,Total (MWp),YOY Growth,Installed Capacity (MWp)
0,1992,43.5,,
1,1993,50.3,15.60%,6.8
2,1994,57.8,14.90%,7.5
3,1995,66.8,15.60%,9.0
4,1996,76.5,14.50%,9.7
5,1997,88.2,15.30%,11.7
6,1998,100.1,13.50%,11.9
7,1999,117.3,17.20%,17.2
8,2000,138.8,18.30%,21.5
9,2001,167.8,20.90%,29.0
10,2002,212.2,26.50%,44.4
11,2003,275.2,29.70%,63.0
12,2004,376.0,36.60%,100.8
13,2005,479.0,27.40%,103.0
14,2006,624.0,30.30%,145.0
15,2007,830.5,33.10%,206.5
16,2008,1169.0,40.70%,338.0
17,2009,1642.0,40.50%,473.1
18,2010,2534.0,55.90%,918.0
19,2011,4383.0,73.20%,1855.0
20,2012,7221.0,75.60%,3313.0
21,2013,11972.0,65.80%,4751.0
22,2014,18173.0,51.80%,6201.0
23,2015,25459.0,40.10%,7286.0
24,2016,40221.0,58.00%,14762.0
