,U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  ),U.S. Grid Connected Photovoltaics Capacity by State (MW  )
,No,Jurisdiction,2015,2014,2013,2012,2011,2010,2009,2008,2007,Unnamed: 11_level_1
0,-,United States,25459.0,18173.0,12090.2,7373.8,4010.7,2165.7,1261.6,791.7,474.8,
1,1,,13243.0,9977.0,5183.4,2559.3,1563.6,1021.7,768.0,528.3,328.8,
2,2,,2303.0,2069.0,1563.1,1106.4,397.6,109.8,46.2,25.3,18.9,
3,3,,2087.0,1245.0,469.0,207.9,85.5,40.0,12.5,4.7,0.7,
4,4,,1632.0,1574.0,1184.6,955.7,565.9,259.9,127.5,70.2,43.6,
5,5,,1240.0,823.0,424.0,349.7,124.1,104.7,36.4,34.2,18.8,
6,6,,1020.0,734.0,445.0,207.3,74.6,38.2,17.7,7.5,4.6,
7,7,,638.0,394.0,240.5,179.4,123.8,55.5,33.9,21.9,15.4,
8,8,,564.0,447.0,358.2,199.5,85.2,44.7,26.2,13.5,4.5,
9,9,,544.0,396.0,360.4,299.6,196.7,121.1,59.1,35.7,14.6,
10,10,,534.0,330.0,215.9,140.3,85.6,34.5,8.6,4.4,3.2,
11,11,,370.0,161.0,109.9,21.4,6.9,1.8,0.2,<0.1,<0.1,
12,12,,365.0,325.0,256.6,203.4,165.5,43.3,2.4,1.0,0.5,
13,13,,349.0,205.0,175.4,116.8,37.1,12.8,5.6,3.1,0.7,
14,14,,258.0,245.0,180.2,164.3,133.1,54.8,7.3,3.9,0.9,
15,15,,255.0,24.0,16.0,10.0,4.4,2.1,0.6,0.2,0.2,
16,16,,219.0,128.0,77.1,39.6,31.1,24.6,19.7,8.8,2.8,
17,17,,200.0,159.0,137.3,116.9,95.0,73.5,38.7,3.0,2.0,
18,18,,136.0,112.0,49.4,4.4,3.5,0.5,0.3,<0.1,<0.1,
19,19,,131.0,111.0,48.9,18.5,2.0,0.7,0.2,<0.1,<0.1,
20,20,,129.0,118.0,64.8,45.0,22.0,5.7,0.9,0.4,0.4,
21,21,,114.0,84.0,62.8,56.4,35.8,23.9,14.0,7.7,2.8,
22,22,,113.0,102.0,98.4,79.9,31.6,20.7,2.0,1.4,1.0,
23,23,,107.0,64.0,41.5,28.0,11.7,3.9,1.7,1.1,0.7,
24,24,,92.0,60.0,46.6,18.2,13.4,2.6,0.2,<0.1,<0.1,
25,25,,70.0,61.0,62.8,46.1,26.5,5.6,3.2,1.8,1.2,
26,26,,65.0,54.0,43.4,42.9,16.2,15.5,4.5,2.8,2.2,
27,27,,62.0,39.0,27.4,19.5,12.3,8.0,5.2,3.7,1.9,
28,28,,33.0,20.0,15.1,11.3,4.8,3.6,1.9,1.0,0.5,
29,29,,27.0,21.0,4.6,1.2,0.1,<0.1,<0.1,<0.1,<0.1,
30,30,,25.0,20.0,22.5,21.1,12.9,8.7,5.3,3.1,1.4,
31,31,,22.0,7.0,4.0,2.0,2.0,2.0,0.7,0.1,0.1,
32,32,,21.0,11.0,12.6,10.5,4.5,2.8,0.8,0.2,0.2,
33,33,,20.1,3.8,1.8,1.5,1.1,1.0,0.2,<0.1,<0.1,
34,34,,19.4,12.7,5.3,2.8,1.1,0.3,0.3,0.3,0.2,
35,35,,19.0,14.0,12,10,8.8,2.6,0.7,0.4,0.4,
36,36,,17.1,12.6,7.6,1.9,1.2,0.6,0.6,0.6,0.6,
37,37,,17.0,10.0,16.5,13.9,11.6,4.5,1.0,0.7,0.5,
38,38,,15.0,12.0,8.0,4.6,4.1,0.9,0.1,<0.1,<0.1,
39,39,,9.5,8.4,7.9,4.8,3.3,0.2,<0.1,<0.1,<0.1,
40,40,,5.2,1.5,0.7,0.3,0.2,<0.1,<0.1,<0.1,<0.1,
41,41,,4.7,2.3,1.1,0.5,0.2,<0.1,<0.1,<0.1,<0.1,
42,42,,4.6,2.6,1.8,1.0,0.4,0.4,0.2,<0.1,<0.1,
43,43,,4.5,4.0,3.0,2.2,0.7,0.7,0.7,0.7,0.5,
44,44,,3.4,2.6,2.2,1.7,0.6,<0.1,<0.1,<0.1,<0.1,
45,45,,2.0,1.9,1.9,1.1,0.5,0.4,0.2,<0.1,<0.1,
46,46,,1.5,1.2,1.0,0.6,0.2,0.2,0.1,<0.1,<0.1,
47,47,,1.1,1.0,1.0,0.7,0.6,0.3,0.1,<0.1,<0.1,
48,48,,1.1,0.8,0.6,0.4,0.3,0.2,<0.1,<0.1,<0.1,
49,49,,0.72,0.39,0.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,
50,50,,0.24,0.22,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,
51,51,,0.22,0.22,0.2,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,
