,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States,Solar PV generation in the United States
,Year,utility scale,utility scale,utility scale,utility scale,utility scale,utility scale,utility scale,Est. distributed  generation (GWh),Est. total  generation (GWh)
,Year,Summer capacity  (GW),Generation  (GWh),Unnamed: 3_level_2,Capacity  YOY growth,Generation  YOY growth,Portion of  renewable electricity,Portion of  total electricity,Est. distributed  generation (GWh),Est. total  generation (GWh)
0,2008,,76,0.225,,375.00%,0.02%,0.002%,,
1,2009,,157,0.20600000000000002,,106.58%,0.04%,0.004%,,
2,2010,,423,0.203,,169.43%,0.10%,0.01%,,
3,2011,1.05,1012,0.191,,138.77%,0.20%,0.02%,,
4,2012,2.69,3451,0.203,156.19%,241.01%,0.70%,0.09%,,
5,2013,4.98,8121,0.19399999999999998,85.13%,135.32%,1.56%,0.20%,,
6,2014,8.3687,15250,0.259,68.05%,87.28%,2.83%,0.37%,11233.0,26482.0
7,2015,11.6297,23232,0.28600000000000003,38.97%,52.34%,4.23%,0.57%,14139.0,35805.0
8,2016,,32670,,,,,,18812.0,51483.0
