,Utility scale solar photovoltaic electricity generation in the United States,Utility scale solar photovoltaic electricity generation in the United States,Utility scale solar photovoltaic electricity generation in the United States,Utility scale solar photovoltaic electricity generation in the United States,Utility scale solar photovoltaic electricity generation in the United States,Utility scale solar photovoltaic electricity generation in the United States,Utility scale solar photovoltaic electricity generation in the United States,Utility scale solar photovoltaic electricity generation in the United States
,Year,Summer capacity  (GW),Electricity generation  (TWh),Capacity factor,Yearly growth of  generating capacity,Yearly growth of  produced energy,Portion of  renewable electricity,Portion of  total electricity
0,2018,31.93,66.59,0.23800000000000002,18.4%,25%,9%,1.60%
1,2017,26.97,53.29,0.226,22.8%,47.8%,7.5%,1.30%
2,2016,20.19,32.67,0.183,66.0%,54.0%,5.4%,0.80%
3,2015,11.91,23.233,0.20800000000000002,36.5%,36.5%,4.0%,0.53%
4,2014,8.37,15.87,0.21600000000000003,56.74%,90.55%,2.94%,0.39%
5,2013,5.34,8.33,0.17800000000000002,98.51%,141.45%,1.60%,0.20%
6,2012,2.69,3.45,0.146,156.19%,241.58%,0.70%,0.09%
7,2011,1.05,1.01,0.11,,138.77%,0.20%,0.02%
8,2010,,0.423,0.203,,169.43%,0.10%,0.01%
9,2009,,0.157,0.20600000000000002,,106.58%,0.04%,0.00%
10,2008,,0.076,0.225,,375.00%,0.02%,0.00%
11,2007,,0.016,,,6.67%,0.00%,0.00%
12,2006,,0.015,,,-6.25%,0.00%,0.00%
13,2005,,0.016,,,166.67%,0.00%,0.00%
14,2004,,0.006,,,0.00%,0.00%,0.00%
