,Year,NREL  Total,EIA Util  Total,EIA Util  % of total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
0,1998,,502,,,,,,,,,,,,,
1,1999,,495,,,,,,,,,,,,,
2,2000,804,493,,,,,,,,,,,,,
3,2001,822,543,,,,,,,,,,,,,
4,2002,857,555,,11,24,44,46,58,96,86,75,53,31,28,4
5,2003,929,534,,13,18,50,60,68,91,63,62,56,36,14,4
6,2004,1020,575,0.01%,13,11,53,57,82,88,82,73,61,34,15,8
7,2005,1145,551,0.01%,8,13,37,57,81,87,71,75,60,37,12,2
8,2006,1312,508,0.01%,13,20,33,52,71,70,62,83,54,32,16,3
9,2007,1718,612,0.01%,13,19,48,54,84,84,86,75,68,48,23,3
10,2008,2208,864,0.02%,16,36,75,94,99,128,111,105,93,60,29,19
11,2009,2922,892,0.02%,7,30,78,99,110,103,121,116,95,68,40,21
12,2010,4505,1212,0.03%,10,33,76,112,153,176,161,156,138,75,77,44
13,2011,7454,1818,0.04%,40,85,122,164,191,223,191,229,186,159,107,121
14,2012,12692,4327,0.11%,95,135,231,319,462,527,509,462,458,431,347,349
15,2013,21074,9253,0.23%,318,479,668,734,826,930,861,1001,979,967,750,737
16,2014,32553,18321,0.45%,775,858,1355,1607,1880,2061,1874,1937,1925,1701,1387,985
17,2015,44296,26473,0.65%,1173,1634,2221,2567,2665,2765,2813,2880,2350,2021,1889,1623
18,2016,52833,36754,0.90%,1546,2423,2721,2981,3644,3591,4064,3936,3613,3132,2642,2299
19,2017,77097,52958,1.32%,2220,2562,4475,4816,5815,6272,5544,5427,5145,4804,3072,3059
20,2018,96147,66604,1.59%,3262,4037,5099,6111,7091,7815,6869,6982,6471,5225,3945,3158
21,2019,,7565,1.13%,3652,3913,,,,,,,,,,
22,"Last entry, % of Total","Last entry, % of Total","Last entry, % of Total","Last entry, % of Total",1.02%,1.25%,1.59%,2.02%,2.09%,2.11%,1.67%,1.70%,1.81%,1.61%,1.23%,0.95%
