,Wind electric generation in the United States,Wind electric generation in the United States,Wind electric generation in the United States,Wind electric generation in the United States,Wind electric generation in the United States,Wind electric generation in the United States,Wind electric generation in the United States,Wind electric generation in the United States
,Year,Summer capacity  (GW),Electricity generation  (TWh),Capacity factor,Yearly growth of  generating capacity,Yearly growth of  produced energy,Portion of  renewable electricity,Portion of  total electricity
0,2018,94.3,274.95,0.33299999999999996,7.6%,8%,40%,6.80%
1,2017,87.54,254.26,0.331,7.8%,12%,37%,6.30%
2,2016,81.29,226.99,0.319,12.0%,19%,37.2%,5.57%
3,2015,72.58,190.72,0.3,12.0%,5.00%,35.04%,4.68%
4,2014,64.85,181.79,0.32,8.13%,8.31%,33.68%,4.44%
5,2013,59.97,161.84,0.319,1.51%,19.19%,32.15%,4.13%
6,2012,59.08,140.82,0.272,29.33%,17.17%,28.47%,3.48%
7,2011,45.68,120.18,0.3,16.71%,26.97%,23.41%,2.93%
8,2010,39.14,94.65,0.276,14.11%,28.10%,22.15%,2.29%
9,2009,34.3,73.89,0.24600000000000002,39.15%,33.47%,17.69%,1.87%
10,2008,24.65,55.36,0.256,49.21%,60.70%,14.53%,1.34%
11,2007,16.52,34.45,0.23800000000000002,45.81%,29.56%,9.77%,0.83%
12,2006,11.33,26.59,0.268,30.08%,49.30%,6.89%,0.65%
13,2005,8.71,17.81,0.233,34.83%,25.95%,4.98%,0.44%
14,2004,6.46,14.14,0.25,7.67%,26.36%,4.02%,0.36%
