,Year,Total,% of total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,2789,,,,,,,,,,,,,
1,1991,2951,,,,,,,,,,,,,
2,1992,2888,,,,,,,,,,,,,
3,1993,3006,,,,,,,,,,,,,
4,1994,3447,,,,,,,,,,,,,
5,1995,3164,,,,,,,,,,,,,
6,1996,3234,,,,,,,,,,,,,
7,1997,3288,,,,,,,,,,,,,
8,1998,3026,,,,,,,,,,,,,
9,1999,4488,,,,,,,,,,,,,
10,2000,5593,,,,,,,,,,,,,
11,2001,6737,,,,,,,,,,,,,
12,2002,10354,,,,,,,,,,,,,
13,2003,10729,,,,,,,,,,,,,
14,2004,14144,0.36%,999,1022,1291,1295,1702,1397,1164,1051,1090,1029,932,1172
15,2005,14597,0.36%,899,783,1235,1408,1494,1539,1171,918,1275,1256,1363,1257
16,2006,26589,0.65%,2383,1922,2359,2472,2459,2052,1955,1655,1879,2442,2540,2472
17,2007,32143,0.77%,2459,2541,3061,3194,2858,2395,1928,2446,2641,3056,2705,2859
18,2008,55363,1.34%,4273,3852,4782,5225,5340,5140,4008,3264,3111,4756,4994,6616
19,2009,73886,1.87%,5951,5852,7099,7458,6262,5599,4955,5464,4651,6814,6875,6906
20,2010,94652,2.29%,6854,5432,8589,9764,8698,8049,6724,6686,7106,7944,9748,9059
21,2011,120177,2.93%,8550,10452,10545,12422,11772,10985,7489,7476,6869,10525,12439,10656
22,2012,140822,3.48%,13632,11052,14026,12709,12541,11972,8822,8469,8790,12636,11649,14524
23,2013,167665,4.13%,14633,13907,15643,17294,16264,13766,11146,9593,11709,13720,15888,14100
24,2014,181791,4.44%,17989,14001,17779,18747,15532,15691,12096,10187,11473,14552,18997,14696
25,2015,190927,4.67%,15258,14964,15361,17835,17060,13398,13632,13040,13859,16391,19693,20067
26,2016,226551,5.55%,18511,20214,21752,20555,18824,16364,17589,13565,16435,20376,19334,23032
27,2017,254254,6.33%,20270,21692,25599,25403,22317,19429,15711,13094,17291,24789,23320,22776
28,2018,274952,6.58%,26834,23936,27275,26757,23405,24411,15897,19507,17991,21154,22493,24825
29,2019,48212,7.19%,25165,23047,,,,,,,,,,
30,"Last entry, % of Total","Last entry, % of Total","Last entry, % of Total",7.04%,7.36%,8.53%,8.85%,6.90%,6.57%,3.87%,4.75%,5.04%,6.50%,6.99%,7.36%
