,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,175.628,162.715,170.029,163.07,171.377,163.931,155.945,161.078,150.0,152.466,148.782,153.866
Total,398.833,372.611,387.374,368.516,386.825,377.323,379.041,385.552,366.465,373.472,368.172,382.521
Total Renewable Energy,773.134,695.351,796.681,770.234,812.443,778.948,750.086,719.598,650.584,682.912,686.847,769.199
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,219.888,193.017,246.546,250.215,272.562,253.685,252.091,219.192,167.517,157.02,178.257,218.713
Geothermal,17.4,16.387,17.608,17.084,17.787,17.361,17.946,17.786,17.576,18.027,18.023,18.608
Solar,7.288,8.165,11.678,13.478,15.933,16.651,17.063,16.478,15.384,14.153,11.547,11.142
Wind,129.726,105.171,133.476,120.941,119.336,113.928,83.946,80.59,83.642,120.241,110.848,138.215
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,184.808,173.569,177.467,168.213,177.25,176.385,183.79,185.198,179.203,180.24,178.719,186.371
Waste,38.397,36.328,39.878,37.232,38.198,37.006,39.306,39.276,37.263,40.766,40.671,42.283
Biofuels,154.493,151.051,162.998,159.117,168.413,163.819,156.863,166.493,148.694,157.631,148.982,151.417
Total,377.697,360.947,380.343,364.563,383.861,377.21,379.959,390.967,365.16,378.637,368.372,380.071
Total Renewable Energy,751.999,683.687,789.65,766.281,809.479,778.836,751.004,725.012,649.279,688.077,687.048,766.749
