,Jan 2000,Feb 2000,Mar 2000,Apr 2000,May 2000,Jun 2000,Jul 2000,Aug 2000,Sep 2000,Oct 2000,Nov 2000,Dec 2000
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.728,0.681,0.728,0.705,0.728,0.705,0.728,0.728,0.705,0.728,0.705,0.728
Solar,3.126,3.37,4.643,5.117,5.649,5.7,5.984,5.922,5.401,4.923,4.038,3.833
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,35.574,33.279,35.574,34.426,35.574,34.426,35.574,35.574,34.426,35.574,34.426,35.574
Total,39.428,37.33,40.945,40.249,41.952,40.831,42.286,42.224,40.532,41.225,39.169,40.135
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.094,0.083,0.099,0.105,0.101,0.093,0.089,0.081,0.066,0.063,0.071,0.073
Geothermal,0.644,0.602,0.644,0.623,0.644,0.623,0.644,0.644,0.623,0.644,0.623,0.644
Solar,0.032,0.035,0.048,0.053,0.058,0.059,0.062,0.061,0.056,0.051,0.042,0.04
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,6.025,5.668,6.057,5.86,6.047,5.842,6.053,6.056,5.854,6.067,5.872,6.068
Waste,3.856,4.001,4.56,4.544,4.879,3.926,4.105,3.93,3.752,4.046,3.728,1.93
Fuel Ethanol,0.032,0.026,0.032,0.028,0.032,0.024,0.03,0.033,0.03,0.036,0.036,0.038
Total,9.913,9.696,10.65,10.431,10.957,9.792,10.188,10.019,9.636,10.149,9.635,8.035
Total,10.683,10.416,11.44,11.213,11.761,10.567,10.982,10.805,10.381,10.907,10.371,8.791
