,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.388,2.646,2.954,2.749,2.624,2.96,2.913,2.216,2.181,2.207,2.224,2.889
Geothermal,0.365,0.33,0.365,0.353,0.365,0.353,0.365,0.365,0.353,0.365,0.353,0.365
Solar,0.022,0.024,0.032,0.036,0.039,0.04,0.042,0.041,0.038,0.034,0.028,0.027
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,127.135,122.158,122.08,117.803,119.992,117.153,123.168,123.183,117.868,121.426,117.1,122.664
Waste,12.82,11.384,12.628,12.14,12.606,12.253,12.568,12.551,12.633,12.184,12.009,12.473
Fuel Ethanol,0.546,0.477,0.523,0.493,0.539,0.581,0.583,0.622,0.565,0.62,0.625,0.668
Losses and Coproducts,18.242,16.74,18.41,17.445,17.988,18.246,19.576,19.681,19.17,20.377,20.191,21.21
Total,158.743,150.76,153.642,147.882,151.125,148.233,155.895,156.036,150.236,154.607,149.924,157.014
Total,162.518,153.759,156.994,151.019,154.153,151.586,159.215,158.659,152.808,157.214,152.53,160.295
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,26.134,22.841,25.046,23.583,25.816,27.815,27.889,29.746,27.049,29.651,29.915,31.942
Biodiesel,1.022,1.027,0.919,0.953,0.971,1.013,0.903,1.088,0.947,0.808,1.02,0.918
Total,27.156,23.867,25.965,24.536,26.787,28.828,28.792,30.835,27.996,30.459,30.936,32.86
